code,ir_bo,ir_rd,p_value,params
600039.XSHG,-0.3948521884936932,0.11974394861636804,0.756,"{'A1': 10.16843007834017, 'A2': 52.121912959263284, 'A3': 60.19808585160896, 'y1': 0.09965867452274281, 'y2': -0.011448267274192958}"
600038.XSHG,0.8654953642619658,0.7690698252714783,0.422,"{'A1': 30.0, 'A2': 60.0, 'A3': 150.0, 'y1': 0.3, 'y2': -0.2}"
600035.XSHG,-2.3250219580705234,0.33942732751223637,1.0,"{'A1': 19.84021237445957, 'A2': 45.127421532276585, 'A3': 83.49652297179584, 'y1': 0.1885791523281409, 'y2': -0.12067203625395544}"
002069.XSHE,0.17316052880495514,0.39773882891928053,0.629,"{'A1': 13.269196713925453, 'A2': 53.75308693308375, 'A3': 60.138295895957484, 'y1': 0.07788572640145737, 'y2': -0.1253982323678095}"
600247.XSHG,-1.447271352411959,0.20364028264272568,0.996,"{'A1': 4.22528178273058, 'A2': 38.00516928338443, 'A3': 136.55859991356996, 'y1': 0.13745446832362407, 'y2': -0.0614537715218669}"
002064.XSHE,0.7134291423734413,0.3128603490487873,0.295,"{'A1': 7.060086021490276, 'A2': 34.128795446110985, 'A3': 139.43996220257816, 'y1': 0.0719022378948469, 'y2': -0.026204311867996544}"
600530.XSHG,0.7250376323206752,0.6856316132175496,0.492,"{'A1': 4.466134742930441, 'A2': 34.155809535194116, 'A3': 90.79509035564544, 'y1': 0.05705189713330484, 'y2': -0.15611301052003057}"
600531.XSHG,1.0378250927813486,0.13324337411124504,0.114,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
600533.XSHG,-0.6026129600709461,0.3019402387448313,0.906,"{'A1': 2.770157843063934, 'A2': 35.58780634133013, 'A3': 91.10046543387429, 'y1': 0.12204640489804763, 'y2': -0.0949307368693454}"
002093.XSHE,0.41438754857143334,0.547314736737209,0.585,"{'A1': 15.91512236995775, 'A2': 47.3005314879084, 'A3': 139.38295036195535, 'y1': 0.25200653437517045, 'y2': -0.05752003922271162}"
002092.XSHE,-0.15836593728164972,0.5263175293392667,0.836,"{'A1': 6.885515225925141, 'A2': 33.18332898096947, 'A3': 139.8631603953234, 'y1': 0.005, 'y2': -0.2}"
600105.XSHG,2.6047992193948706,0.8804051732689613,0.002,"{'A1': 30.0, 'A2': 60.0, 'A3': 150.0, 'y1': 0.3, 'y2': -0.2}"
600106.XSHG,-0.6781486929957045,0.19090311952663847,0.89,"{'A1': 4.22528178273058, 'A2': 38.00516928338443, 'A3': 136.55859991356996, 'y1': 0.13745446832362407, 'y2': -0.0614537715218669}"
600103.XSHG,-1.0213807067257377,0.1164103394311865,0.945,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
002098.XSHE,1.2861597689546116,0.558156112862956,0.142,"{'A1': 8.48873433095541, 'A2': 34.31233156563465, 'A3': 138.1447561984018, 'y1': 0.06167750623120244, 'y2': -0.19673492238194518}"
600327.XSHG,0.5260584150668326,0.8819022498763948,0.737,"{'A1': 6.9328756330800045, 'A2': 60.0, 'A3': 65.23933358150151, 'y1': 0.3, 'y2': -0.2}"
600326.XSHG,-0.3958838801961461,0.09524704264786328,0.58,"{'A1': 30.0, 'A2': 30.0, 'A3': 150.0, 'y1': 0.3, 'y2': -0.005}"
000819.XSHE,-1.8857326983356193,0.0883520467491414,1.0,"{'A1': 30.0, 'A2': 60.0, 'A3': 124.68206843082933, 'y1': 0.005, 'y2': -0.2}"
000818.XSHE,0.0,0.0,0.0,"{'A1': 29.485650422445676, 'A2': 57.590059351188515, 'A3': 94.2608457873757, 'y1': 0.16681828090004894, 'y2': -0.06842618882672769}"
600323.XSHG,0.26300664894083653,0.379158121558427,0.57,"{'A1': 11.537943283301594, 'A2': 45.968973287379384, 'A3': 62.762752072378014, 'y1': 0.04442354689011906, 'y2': -0.18795307334949626}"
600322.XSHG,0.0,0.0,0.0,"{'A1': 0.0, 'A2': 60.0, 'A3': 60.0, 'y1': 0.3, 'y2': -0.0050000000000000044}"
000815.XSHE,-0.07485889127778425,0.4437622563360086,0.78,"{'A1': 4.22528178273058, 'A2': 38.00516928338443, 'A3': 136.55859991356996, 'y1': 0.13745446832362407, 'y2': -0.0614537715218669}"
600240.XSHG,0.080662124500355,0.38385806518936877,0.682,"{'A1': 30.0, 'A2': 60.0, 'A3': 82.38639131993807, 'y1': 0.3, 'y2': -0.2}"
000816.XSHE,1.1865951304583946,0.056748496246307144,0.025,"{'A1': 17.103289892852764, 'A2': 57.401939544299175, 'A3': 60.0, 'y1': 0.005, 'y2': -0.2}"
600246.XSHG,-0.4013756843069363,0.0,1.0,"{'A1': 30.0, 'A2': 40.163190479266284, 'A3': 73.1426209460765, 'y1': 0.005, 'y2': -0.005}"
600328.XSHG,-1.0165000844268854,0.27532015738581517,0.968,"{'A1': 10.749264915392121, 'A2': 51.400562559003575, 'A3': 62.320533701388946, 'y1': 0.22511417079134166, 'y2': -0.15017360195227536}"
600970.XSHG,-0.10382627840011754,0.28619674545908214,0.697,"{'A1': 29.978948454820078, 'A2': 49.43906471385308, 'A3': 135.14257067221376, 'y1': 0.012308667600527425, 'y2': -0.039713408267319256}"
600971.XSHG,0.0,0.0,0.0,"{'A1': 0.0, 'A2': 60.0, 'A3': 150.0, 'y1': 0.005, 'y2': -0.0050000000000000044}"
600973.XSHG,0.8976827223035503,0.46317290346527595,0.261,"{'A1': 5.071854477093672, 'A2': 38.105278445876245, 'A3': 89.77798807635017, 'y1': 0.3, 'y2': -0.09178743817460892}"
000563.XSHE,1.5659814118644766,0.0,0.0,"{'A1': 15.344460277949988, 'A2': 30.0, 'A3': 60.0, 'y1': 0.005, 'y2': -0.2}"
600400.XSHG,-1.1103208929616089,0.18922507982510023,0.971,"{'A1': 7.015355785324938, 'A2': 34.1213684232026, 'A3': 139.55653614860165, 'y1': 0.006735746583387315, 'y2': -0.053963146001433315}"
000963.XSHE,1.1628682705579905,0.936346863608593,0.343,"{'A1': 5.440826466939705, 'A2': 38.99199922010123, 'A3': 79.97092428127304, 'y1': 0.20248024954062627, 'y2': -0.11620661428708837}"
000962.XSHE,2.2652863608409364,0.24498831347335298,0.0,"{'A1': 7.042269790348411, 'A2': 32.529775358383034, 'A3': 140.5836039351429, 'y1': 0.019269130737183015, 'y2': -0.06659634423248602}"
600406.XSHG,0.4827576003621184,0.8820400951776751,0.745,"{'A1': 8.483989130205757, 'A2': 43.23999705150743, 'A3': 112.48236475533308, 'y1': 0.13887819688510566, 'y2': -0.03328460409447789}"
600408.XSHG,-0.4933105871108034,0.1745775067159634,0.819,"{'A1': 12.51066014107722, 'A2': 51.60973480326474, 'A3': 60.01029373356104, 'y1': 0.09418810892639273, 'y2': -0.17138260129066296}"
600409.XSHG,-1.1526071808560796,0.1640476621028377,0.961,"{'A1': 30.0, 'A2': 38.195968732022905, 'A3': 114.50648659915494, 'y1': 0.3, 'y2': -0.2}"
000708.XSHE,0.7479813775589234,0.48812866388549875,0.367,"{'A1': 15.415376883351412, 'A2': 30.0, 'A3': 88.86467411240326, 'y1': 0.005, 'y2': -0.2}"
600819.XSHG,1.2358287146060718,0.0,0.0,"{'A1': 30.0, 'A2': 30.0, 'A3': 137.53143318100322, 'y1': 0.005, 'y2': -0.005}"
